ID,Name,Beschreibung,CannaWorld-Teil,Domäne/Kategorie,Empfänger/Rolle,Delivery-Typ,Input → Output,Beleg-Quelle,Reifegrad,AIHF-Bezug,Status
DR-028,B2B Marketplace — Buyer Access Enterprise (monthly),"Buyer Standard plus curated supplier shortlists, supplier comparison matrix, dedicated Cannaworld relationship manager, quarterly buyer briefing",Marketplace,Platform/Identity,Large EU importer / pharmacy group / wholesaler,menschlich,Enterprise buyer subscription → curated shortlists + quarterly briefing + dedicated relationship manager,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.2,Konzept,nein,BELEGT
DR-029,Buyer Onboarding,"Onboarding process for new buyers onto the Cannaworld marketplace: company document review, licence/authorisation evidence check, profile setup, access provisioning, risk screening",Marketplace,Platform/Identity,EU importer / buyer applying for marketplace access,menschlich,Buyer application + company docs + licence evidence → marketplace account + access level determination,Green Chrono Priority Partner Pricing PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN) §2 line 'Buyer Onboarding',Konzept,nein,BELEGT
DR-030,Restricted Data Room Access per Buyer (monthly),"Access-controlled data room provisioned for a specific buyer-supplier relationship; buyer receives access to supplier compliance evidence, traceability data, COAs, batch records for ongoing sourcing decisions",Marketplace,Data/AI,EU buyer evaluating specific Thai supplier,automatisiert,Buyer+supplier match → provisioned access-controlled data room per buyer relationship,Green Chrono Priority Partner Pricing PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN) §2 'Restricted Data Room Access'; also S-02 in Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv),im-Code,nein,BELEGT
DR-031,Buyer Q&A Coordination (hourly),"Cannaworld-facilitated Q&A between buyer and supplier: structuring questions, coordinating responses, ensuring regulatory-compliant framing; billed per hour",Marketplace,Advisory,EU buyer / Thai supplier,menschlich,Buyer questions + supplier data → structured Q&A exchange with compliance framing,Green Chrono Priority Partner Pricing PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN) §2 'Buyer Q&A Coordination',Konzept,nein,BELEGT
DR-032,B2B Transaction Support — Fixed Fee,"Active coordination of a specific B2B transaction between Compliance-Reviewed Supplier and buyer: introduction, document exchange, escrow coordination, logistics coordination; fixed fee agreed in advance per transaction; only for verified counterparties",Marketplace,Trade,Thai supplier + EU buyer (transaction parties),menschlich,Matched buyer+supplier → transaction coordination + executed transaction file + fee statement,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §7.3,Konzept,nein,BELEGT
DR-033,B2B Transaction Support — Success-Fee Brokerage,Brokerage success fee on actual closed EU-route transactions introduced/registered/coordinated by Cannaworld; degressive rate by volume; fee earned only on shipped/paid transactions; Cannaworld acts as broker/coordinator not principal (no title to goods),Marketplace,Trade,Thai supplier + EU buyer,menschlich,Registered buyer introduction + activated PO → transaction file + success-fee statement,Cannaworld_Service_Framework_v2 §7.3; Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv) §7.2 S-15; Green Chrono PDF 'Buyer Coordination Fee',Konzept,nein,BELEGT
DR-034,Export Readiness Review — per export case,"Review and preparation of supplier-side export-readiness file for one export case: batch/lot documentation, traceability evidence, COA/lab documentation, buyer/importer document structure, storage and movement evidence, chain-of-custody logic, export case-file preparation",Gateway,Regulatory,Thai cannabis supplier targeting EU export,menschlich,Batch documentation + COAs + buyer documents → Export-Readiness Report (P0/P1/P2 + roadmap) + export case file,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §8.1; Salus PDF S-03; Green Chrono 'Export Readiness Light/Standard',Konzept,nein,BELEGT
DR-035,Export Case File Maintenance (monthly per active buyer),"Ongoing maintenance of an export case file for repeat exports to the same buyer/corridor: record updates, document version control, traceability chain maintenance",Gateway,Documents,Thai cannabis supplier with active repeat EU export,menschlich,Recurring export activity + updated records → maintained export case file,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §8.1,Konzept,nein,BELEGT
DR-036,Logistics Partner Coordination — per export case,"Coordination with licensed logistics providers (Kühne+Nagel, DHL Healthcare, DB Schenker, equivalent) for GDP-compliant air freight; supplier-side document preparation, handover protocol; logistics fees billed separately",Gateway,Logistics,Thai cannabis supplier preparing physical shipment,menschlich,Export case file + logistics provider selection → handover protocol + shipment documentation,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §8.1; Salus PDF S-11,Konzept,nein,BELEGT
DR-037,AEO / Pre-Clearance Documentation Support,Supplier-side documentation support for buyer-side AEO and pre-clearance mechanics; does not replace importer regulatory responsibility; per case,Gateway,Regulatory,Thai cannabis supplier / EU importer,menschlich,Export case + AEO/pre-clearance requirements → compliance documentation set for pre-clearance,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §8.1,Konzept,nein,BELEGT
DR-038,Batch / Lot Compliance Review — per batch,"Batch-specific traceability and compliance evidence review: harvest data, source area, operator records, processing status, packaging status, COA reference, storage location, movement record, buyer/export file linkage; output: Batch Review memo + release/rework recommendation",Gateway,Quality/GxP,Thai cannabis supplier / EU buyer,menschlich,Batch records + COA + movement records → Batch Review memo + recommendation,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §9.1; Salus PDF S-07; Green Chrono 'Batch Review Light/Standard',Konzept,nein,BELEGT
DR-039,COA & Laboratory Coordination — per sample/batch,"Sample documentation, laboratory communication, COA collection, completeness review, digital filing; laboratory fees billed separately; output: COA reconciliation sheet (pass/fail per parameter)",Gateway,Quality/GxP,Thai cannabis supplier,menschlich,Sample + lab selection → COA + completeness review + reconciliation sheet,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §9.1; Salus PDF S-08; Green Chrono 'COA Sample Planning / COA Completeness Review',Konzept,nein,BELEGT
DR-040,Buyer / Importer Due Diligence — per buyer,"Review of buyer/importer profile, company documents, licence or authorisation evidence, destination-market document requirements, transaction-file setup, buyer-risk note; for marketplace or export-readiness purposes",Marketplace,Trust/Audit,Thai cannabis supplier evaluating EU buyer counterparty,menschlich,Buyer company docs + licence evidence → buyer DD report + risk note + transaction-file setup,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §9.1; Green Chrono 'Buyer Due Diligence Review',Konzept,nein,BELEGT
DR-041,Deviation & CAPA Management — per case,"Management of a supplier deviation or complaint case: issue documentation, risk classification, corrective-action plan, evidence collection, follow-up review, closure note",Gateway,Quality/GxP,Thai cannabis supplier,menschlich,Deviation/complaint event → CAPA plan + evidence collection + closure note,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §9.1,Konzept,nein,BELEGT
DR-042,Complaint Handling Procedure Setup,"One-off creation of documented complaint-handling procedure: intake form, classification logic, response template, evidence log, closure note template",Gateway,Quality/GxP,Thai cannabis supplier,menschlich,Regulatory requirements → complete complaint-handling SOP + forms,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §9.1,Konzept,nein,BELEGT
DR-043,AI-Supported Compliance Desk — SOP Drafting,"AI-assisted draft SOPs, record templates and work instructions with human compliance review before release; delivered as part of monthly Compliance Desk retainer",AICert,Data/AI,Thai cannabis supplier / operator,AI-gestützt,SOP topic brief + regulatory references → AI-drafted SOP + human-reviewed final document,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,im-Code,nein,BELEGT
DR-044,AI-Supported Compliance Desk — Training Content,"AI-assisted micro-learnings, quizzes, handouts, staff briefings, mock-audit questions; with human compliance review; part of monthly Compliance Desk",AICert,Data/AI,Thai cannabis supplier / operator,AI-gestützt,Training topic + SOP reference → AI-generated training content + human-reviewed deliverable,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,im-Code,nein,BELEGT
DR-045,AI-Supported Compliance Desk — Translation Support,Thai / English / German raw translations with human review for compliance-critical materials; part of monthly Compliance Desk,AICert,Data/AI,Thai cannabis supplier / EU buyer,AI-gestützt,Source document (Thai/EN/DE) → AI translation + human-reviewed compliance translation,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,im-Code,nein,BELEGT
DR-046,AI-Supported Compliance Desk — Gap Report Structuring,"AI-assisted summary of inspection findings, gap priorities, CAPA items and deficiency lists from raw inspection notes; with human review",AICert,Data/AI,Thai cannabis supplier / operator,AI-gestützt,Raw inspection notes → structured gap report + prioritised CAPA list,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,im-Code,nein,BELEGT
DR-047,AI-Supported Compliance Desk — Document Classification,"AI-assisted categorisation of documents, photos, records and evidence files into the Cannaworld platform structure; part of monthly Compliance Desk",AICert,Data/AI,Thai cannabis supplier / operator,AI-gestützt,Unstructured documents/photos → classified and tagged platform entries,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,im-Code,nein,BELEGT
DR-048,AI-Supported Compliance Desk — Authority Communication Drafts,"AI-assisted draft clarification responses and communication notes for authority (DTAM, BfArM etc.) interactions; reviewed and signed by client before submission",AICert,Regulatory,Thai cannabis supplier / operator,AI-gestützt,Authority clarification request + existing application file → draft response letter + human review,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §10.1,Konzept,nein,BELEGT
DR-049,Authority Liaison & Application Management Support — standalone,"Administrative and documentary service (not legal representation) for GACP/regulatory application preparation: application file structure, document collection, authority communication coordination, appointment management, submission support; client remains legal applicant and signatory",Gateway,Regulatory,Thai cannabis operator filing GACP application,menschlich,Application materials + client documents → submit-ready application file + communication tracking,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §11,Konzept,nein,BELEGT
DR-050,Additional Clarification Round (authority),"One additional authority clarification round beyond the scope included in the GACP Readiness Program or Authority Liaison engagement; includes document preparation, response drafting, communication tracking",Gateway,Regulatory,Thai cannabis operator,menschlich,Authority clarification request → prepared clarification response set + communication tracking,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §11.3,Konzept,nein,BELEGT
DR-051,Application Resubmission,"Full resubmission cycle after authority decision requiring rework; includes revised application file, document update, communication re-tracking",Gateway,Regulatory,Thai cannabis operator,menschlich,Authority rejection/rework decision + updated evidence → revised submission-ready application file,Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §11.3,Konzept,nein,BELEGT
DR-052,Custom SOP Library Creation,Full drafting of custom SOPs (not just mapping) for specific operator requirements; per SOP or bundle quotation; separate from the mapping included in the GACP Readiness Program,Gateway,Quality/GxP,Thai cannabis operator,menschlich,"Operator process brief → fully written, versioned SOP documents",Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §15.2 soft exclusions,Konzept,nein,BELEGT
DR-053,Data Migration from Chat / Photo Archives,"Retroactive structuring and migration of fragmented client data (chat archives, photo libraries, paper archives) into the Cannaworld platform compliance structure; priced by volume",Gateway,Data/AI,Thai cannabis operator with pre-existing informal records,menschlich,"Unstructured chat/photo/paper records → categorised, harmonised platform entries",Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §4.3 and §15.2,Konzept,nein,BELEGT
DR-054,Retroactive Record Cleanup,"Correction and harmonisation of incomplete, inconsistent or non-compliant records accumulated before Cannaworld engagement; by scope quotation",Gateway,Quality/GxP,Thai cannabis operator,menschlich,"Existing non-compliant records → corrected, audit-ready record set",Cannaworld_Service_Framework_v2 (1Nvj1MGUTpACFxjTt99OJqNCBU_k6EdHH9xI_o0umllA) §15.2 soft exclusions,Konzept,nein,BELEGT
DR-055,Export & Buyer Desk (monthly retainer),"Running the export buyer desk: pipeline management, EU buyer sourcing and opportunity registration, restricted B2B data room maintenance, coordination, monthly desk report and gate pack; core operational retainer for active export engagements",Marketplace,Trade,Thai supplier with active EU export ambition,menschlich,Active buyer pipeline + supplier data → monthly desk report + gate pack + buyer opportunity records,Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv) S-14; also 'Export & Buyer Desk Retainer' in Green Chrono PDF (1YNIWlQQh2nzh6gvqaFTka8Z34dsLBjcN),Konzept,nein,BELEGT
DR-056,Buyer Sourcing & Opportunity Registration — per buyer,"Identify and qualify EU buyers (importers, pharmacy groups, wholesalers, manufacturers); register each buyer opportunity; protect pipeline via Opportunity Registration record before supplier transacts directly",Marketplace,Trade,Thai cannabis supplier,menschlich,EU market / buyer brief → qualified buyer list + Opportunity Registration records,Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv) §14 S-01,Konzept,nein,BELEGT
DR-057,Reduced ICH Q7 Gap Screening,"First-pass GMP readiness screen against ICH Q7 (API guideline), focused on controls critical for Thai bulk-extract/distillate exporter entering an EU route: quality responsibility, premises/contamination, document/batch-record discipline, lab controls, COA reliability, supplier-control gaps; output: short gap memo with prioritised P0/P1/P2 findings + 6-12 month closure roadmap",AICert,Quality/GxP,Thai cannabis extractor / API producer,menschlich,Facility visit + documentation review → ICH Q7 gap memo + closure roadmap,Salus PDF (16dtAOFNOfGiNV0aYhGzfTijFwPBOCttv) §5(a) and §14 S-04,Konzept,nein,BELEGT
